year,win,spr,sum,aut
1000,NA,NA,+1,NA
1001,NA,NA,-1,NA
1002,NA,NA,NA,NA
1003,-3,NA,NA,NA
1004,-2,NA,NA,NA
1005,NA,NA,NA,NA
1006,NA,NA,NA,NA
1007,NA,NA,NA,NA
1008,NA,NA,NA,NA
1009,-1,NA,NA,NA
1010,-3,NA,NA,NA
1011,-3,+1,NA,NA
1012,NA,NA,-1,NA
1013,NA,NA,NA,NA
1014,-3,+2,+2,NA
1015,NA,NA,NA,NA
1016,NA,NA,NA,NA
1017,NA,NA,NA,NA
1018,NA,NA,-1,NA
1019,-1,NA,NA,NA
1020,-3,NA,-1,NA
1021,NA,NA,NA,NA
1022,NA,+2,+2,NA
1023,NA,NA,+1,NA
1024,NA,NA,NA,NA
1025,NA,NA,NA,NA
1026,NA,NA,NA,NA
1027,NA,NA,NA,NA
1028,NA,NA,NA,NA
1029,-2,NA,NA,NA
1030,NA,NA,+1,NA
1031,NA,NA,-1,NA
1032,NA,NA,+1,NA
1033,-2,NA,+2,NA
1034,NA,NA,NA,NA
1035,00,NA,NA,NA
1036,-3,NA,NA,NA
1037,NA,NA,NA,NA
1038,NA,NA,+2,NA
1039,NA,NA,+2,NA
1040,-2,NA,NA,NA
1041,NA,NA,NA,NA
1042,-2,NA,NA,NA
1043,NA,NA,-1,NA
1044,-2,NA,-1,NA
1045,-2,NA,-1,NA
1046,-1,NA,NA,NA
1047,-3,NA,NA,NA
1048,NA,NA,-2,NA
1049,-1,-1,-1,NA
1050,NA,NA,NA,NA
1051,NA,NA,NA,NA
1052,NA,NA,-1,NA
1053,NA,NA,-2,NA
1054,NA,NA,NA,NA
1055,NA,NA,NA,NA
1056,+3,NA,NA,NA
1057,-2,-2,NA,+1
1058,00,NA,NA,NA
1059,-1,NA,+3,NA
1060,-3,NA,-1,NA
1061,NA,NA,NA,NA
1062,NA,NA,NA,NA
1063,-2,-2,+2,NA
1064,-1,NA,NA,NA
1065,-1,NA,NA,NA
1066,+3,NA,NA,NA
1067,-3,-1,+1,NA
1068,NA,NA,-1,NA
1069,-3,NA,NA,NA
1070,+1,NA,+1,+1
1071,+2,NA,NA,NA
1072,-2,NA,NA,NA
1073,-2,NA,NA,NA
1074,-2,NA,NA,NA
1075,-2,NA,NA,NA
1076,NA,-1,-1,-1
1077,-3,-2,NA,NA
1078,NA,+3,+3,NA
1079,-1,NA,NA,NA
1080,-1,NA,NA,NA
1081,NA,NA,NA,NA
1082,NA,NA,NA,NA
1083,NA,NA,+3,NA
1084,NA,NA,NA,NA
1085,NA,NA,NA,NA
1086,NA,+3,+3,NA
1087,NA,NA,NA,NA
1088,+1,NA,NA,NA
1089,NA,NA,NA,NA
1090,NA,NA,+3,NA
1091,-1,NA,NA,NA
1092,NA,-1,NA,NA
1093,-2,NA,NA,NA
1094,+2,+1,NA,NA
1095,00,-2,+1,+1
1096,-2,NA,NA,NA
1097,+2,NA,NA,NA
1098,+2,NA,+2,NA
1099,00,NA,00,NA
1100,-2,NA,NA,NA
1101,00,-1,NA,NA
1102,+1,-2,NA,NA
1103,NA,NA,NA,NA
1104,-1,NA,+1,NA
1105,-1,NA,NA,NA
1106,00,+3,+3,NA
1107,+2,NA,+2,NA
1108,-2,-1,NA,NA
1109,-1,NA,NA,NA
1110,-3,NA,NA,NA
1111,NA,NA,NA,NA
1112,-1,NA,+2,NA
1113,-1,-2,+3,NA
1114,00,-1,NA,NA
1115,-3,NA,NA,-1
1116,-1,-1,+1,NA
1117,+2,+1,NA,NA
1118,-1,-1,NA,NA
1119,-1,NA,NA,NA
1120,NA,NA,NA,NA
1121,+1,NA,-1,NA
1122,-2,+3,NA,NA
1123,00,-2,00,NA
1124,-2,-2,-1,NA
1125,-3,-2,-3,NA
1126,-3,-1,-1,NA
1127,00,-1,NA,NA
1128,-1,-2,-1,-1
1129,+1,-1,NA,NA
1130,-1,NA,+3,NA
1131,NA,NA,+1,NA
1132,-1,NA,NA,NA
1133,NA,NA,+1,NA
1134,00,NA,+2,NA
1135,-2,NA,+3,+3
1136,00,NA,+1,NA
1137,-2,+3,+3,+1
1138,NA,NA,NA,NA
1139,NA,NA,NA,NA
1140,-1,NA,NA,NA
1141,+1,+3,-3,NA
1142,-2,NA,NA,NA
1143,-2,NA,-1,NA
1144,+2,NA,-1,NA
1145,NA,NA,NA,NA
1146,NA,NA,-1,NA
1147,NA,NA,NA,NA
1148,-1,NA,NA,NA
1149,-2,+1,NA,-1
1150,-3,-2,-1,NA
1151,-1,NA,-3,-1
1152,+1,NA,NA,-1
1153,+1,NA,NA,NA
1154,NA,NA,NA,NA
1155,-1,NA,-1,-2
1156,00,+1,+2,-1
1157,00,-1,+3,+1
1158,+2,NA,+2,NA
1159,-2,-2,-1,-2
1160,-1,-1,NA,NA
1161,NA,NA,NA,NA
1162,NA,NA,NA,NA
1163,-1,NA,-1,-1
1164,00,NA,NA,NA
1165,-2,NA,+2,NA
1166,NA,NA,NA,NA
1167,-1,-1,+2,-2
1168,-2,+1,+3,NA
1169,+1,NA,NA,NA
1170,+1,NA,+3,+3
1171,-2,NA,+2,-1
1172,+3,+1,NA,NA
1173,-2,NA,+3,NA
1174,-1,-1,-2,-2
1175,00,NA,+3,NA
1176,-1,NA,+2,NA
1177,00,NA,+3,NA
1178,-1,NA,-1,-1
1179,-2,-2,+1,+2
1180,NA,NA,NA,NA
1181,00,-1,+1,NA
1182,+3,-1,-2,NA
1183,-2,NA,NA,NA
1184,00,-1,+2,NA
1185,+3,NA,+2,-1
1186,+2,+2,+3,NA
1187,+2,-2,-1,-3
1188,NA,NA,+3,NA
1189,NA,NA,+2,NA
1190,+3,NA,+1,NA
1191,NA,NA,+1,NA
1192,NA,NA,+2,+1
1193,NA,NA,NA,-2
1194,NA,+2,+2,NA
1195,+1,-1,-1,NA
1196,NA,+1,-2,+1
1197,+1,+2,-3,NA
1198,+2,-1,+2,NA
1199,NA,NA,NA,NA
1200,NA,+3,NA,NA
1201,00,+3,-1,-1
1202,NA,NA,NA,NA
1203,+1,+1,+1,NA
1204,-2,NA,+3,-1
1205,-2,-1,+2,-1
1206,+1,+2,+1,NA
1207,+1,-1,-1,NA
1208,00,+3,+2,NA
1209,-1,NA,-1,NA
1210,-2,-2,+2,NA
1211,-3,NA,+1,NA
1212,-1,-1,+2,-1
1213,00,-2,NA,-1
1214,00,-1,NA,NA
1215,-1,-3,NA,NA
1216,-2,NA,+2,NA
1217,-1,-2,+3,NA
1218,+2,NA,NA,-1
1219,-3,-1,-3,-1
1220,+2,NA,NA,NA
1221,-1,-2,NA,NA
1222,NA,NA,-1,NA
1223,-2,-1,-1,-1
1224,-1,+3,NA,-1
1225,-3,-1,+2,-2
1226,00,+1,00,-1
1227,00,NA,NA,NA
1228,+1,+3,+3,NA
1229,-2,NA,NA,NA
1230,-2,NA,00,NA
1231,NA,NA,+2,NA
1232,+3,NA,+2,NA
1233,NA,-1,-1,-1
1234,-3,NA,NA,NA
1235,-1,NA,NA,NA
1236,+2,NA,+2,NA
1237,+2,NA,-2,NA
1238,NA,NA,NA,NA
1239,+2,NA,NA,NA
1240,NA,NA,NA,NA
1241,-1,NA,+2,NA
1242,NA,NA,NA,NA
1243,NA,NA,NA,NA
1244,NA,NA,+2,NA
1245,-1,NA,+2,NA
1246,NA,NA,+1,NA
1247,00,NA,+1,NA
1248,NA,NA,NA,+1
1249,+2,-1,-1,-1
1250,-2,-1,-2,NA
1251,+1,NA,-1,NA
1252,00,-2,-2,NA
1253,-3,NA,-2,-1
1254,-1,-3,NA,NA
1255,NA,-1,-2,NA
1256,-2,+1,NA,NA
1257,00,-2,+2,NA
1258,-2,NA,00,-2
1259,+1,NA,+3,NA
1260,+3,-1,+1,NA
1261,NA,NA,+2,NA
1262,-1,NA,+1,NA
1263,-1,NA,NA,NA
1264,NA,NA,NA,NA
1265,+1,NA,NA,NA
1266,+2,+2,NA,NA
1267,-3,NA,+2,NA
1268,+2,+1,+2,NA
1269,NA,-1,NA,NA
1270,-1,-1,+2,NA
1271,NA,NA,+1,-1
1272,NA,NA,-1,-1
1273,00,+1,+1,+1
1274,+2,-2,00,+1
1275,-1,-1,-2,-1
1276,-2,+1,+1,+2
1277,-2,-1,+2,+3
1278,-1,-2,+2,+1
1279,+2,-1,+1,NA
1280,NA,NA,00,-1
1281,-2,-1,-1,NA
1282,-2,00,+1,+1
1283,+2,+2,+1,NA
1284,NA,+1,+1,+2
1285,+1,NA,NA,NA
1286,-3,+1,NA,-2
1287,+3,NA,+1,NA
1288,+1,-1,-1,+2
1289,+2,+1,+1,+2
1290,+3,+1,00,-1
1291,+1,+2,-1,NA
1292,+2,-1,NA,NA
1293,-1,NA,+2,NA
1294,-1,+1,+2,NA
1295,+1,-2,+2,NA
1296,+2,NA,00,NA
1297,NA,+2,+3,+2
1298,NA,NA,NA,NA
1299,+2,+1,00,NA
1300,NA,NA,NA,NA
1301,NA,-1,+3,NA
1302,+2,NA,-2,-1
1303,00,+2,+3,NA
1304,+3,+3,+2,-1
1305,-2,-1,NA,-1
1306,-3,-2,NA,NA
1307,NA,NA,NA,NA
1308,-2,NA,NA,NA
1309,NA,-2,NA,NA
1310,-2,-2,-2,-1
1311,-1,NA,-1,NA
1312,00,NA,+1,NA
1313,00,NA,-1,-2
1314,-1,NA,-1,NA
1315,NA,-1,-2,-3
1316,00,NA,NA,NA
1317,-2,-1,NA,NA
1318,-1,NA,NA,NA
1319,00,NA,NA,NA
1320,00,NA,NA,NA
1321,NA,NA,NA,NA
1322,-1,-1,-3,-1
1323,-3,+1,+2,-2
1324,00,+3,NA,NA
1325,NA,-1,-1,+1
1326,-3,NA,NA,NA
1327,NA,NA,NA,NA
1328,+2,+2,+1,NA
1329,+1,+1,00,NA
1330,-2,-2,+1,-2
1331,+2,+1,+1,-1
1332,00,+1,+2,+1
1333,-2,NA,+2,+1
1334,-1,-1,-1,NA
1335,00,NA,-3,-1
1336,NA,NA,+1,NA
1337,NA,NA,+2,NA
1338,00,-2,-1,-2
1339,-2,NA,NA,NA
1340,-1,-1,NA,-1
1341,+2,-1,+1,-1
1342,-2,-1,-1,NA
1343,+3,-1,-1,NA
1344,00,-1,+3,NA
1345,+2,NA,+1,-1
1346,-1,-2,-1,-2
1347,NA,NA,-2,-2
1348,+1,00,+3,+1
1349,00,+2,00,+2
1350,+1,+1,+2,+2
1351,-1,+1,+3,NA
1352,-1,NA,+2,+2
1353,-2,-1,+2,+3
1354,-2,NA,+3,NA
1355,-2,-1,NA,NA
1356,+1,NA,-3,NA
1357,+2,+3,+2,NA
1358,00,-1,00,-1
1359,-1,-2,-2,-2
1360,+2,+1,+1,-1
1361,00,+3,+3,NA
1362,-1,-1,+2,NA
1363,00,-1,+1,-1
1364,-3,-1,-2,NA
1365,00,+1,-2,NA
1366,-1,-2,-2,NA
1367,-2,-1,NA,NA
1368,+2,NA,+3,-1
1369,NA,-3,-1,NA
1370,-2,NA,+2,-2
1371,+1,-1,+3,+2
1372,+2,-1,+1,+2
1373,NA,NA,+1,+2
1374,+2,00,-1,+2
1375,NA,+1,+3,NA
1376,+1,NA,+2,+1
1377,-1,-3,-1,-1
1378,-2,-1,NA,NA
1379,-2,-1,+3,NA
1380,+1,NA,00,+2
1381,+1,-2,+1,-1
1382,-2,+3,-1,+2
1383,+2,+3,+2,-1
1384,-1,+2,+1,NA
1385,+2,+1,00,NA
1386,+1,+1,00,+2
1387,-2,NA,-1,+1
1388,00,+1,+1,+1
1389,-2,-1,+1,-1
1390,-1,+1,NA,+1
1391,+1,NA,+2,NA
1392,00,-3,-1,-2
1393,-2,+2,+3,NA
1394,-1,-1,+2,-1
1395,+1,NA,NA,NA
1396,-1,NA,NA,+1
1397,+1,+2,+1,-1
1398,NA,NA,+1,NA
1399,-3,-1,+1,-2
1400,00,-1,+1,NA
1401,+2,+1,-1,NA
1402,+2,+1,NA,NA
1403,NA,-1,-1,NA
1404,+2,-3,-1,-2
1405,-2,NA,-3,+1
1406,+1,00,-1,NA
1407,00,NA,+2,-1
1408,-3,00,-1,00
1409,+1,-1,NA,-2
1410,NA,-2,00,+1
1411,00,00,-2,-1
1412,NA,NA,+1,+1
1413,-1,NA,+2,NA
1414,+1,-3,+1,-1
1415,NA,-2,NA,NA
1416,+2,NA,NA,-1
1417,-2,NA,NA,-2
1418,-2,-1,+1,NA
1419,NA,-1,-2,00
1420,+1,+2,+2,+2
1421,-2,NA,NA,NA
1422,-1,NA,NA,NA
1423,-3,NA,-1,-1
1424,+1,NA,NA,+1
1425,+2,+2,NA,+2
1426,+3,+1,+3,-1
1427,-3,NA,NA,NA
1428,+2,-2,-1,NA
1429,-1,-1,-2,NA
1430,-2,-1,00,NA
1431,-1,00,+1,+1
1432,-3,-1,+2,+1
1433,-1,+2,-1,00
1434,NA,00,+2,+1
1435,-3,-1,+1,-1
1436,NA,+1,00,+1
1437,-3,-1,+1,NA
1438,-1,-1,+1,NA
1439,00,NA,NA,NA
1440,NA,NA,NA,-1
1441,-2,NA,+1,NA
1442,NA,-1,+2,-2
1443,-3,-3,-1,NA
1444,+1,NA,NA,NA
1445,NA,NA,-1,NA
1446,-2,-2,NA,-1
1447,NA,-2,+1,+2
1448,+1,-2,+3,+1
1449,+1,NA,00,+1
1450,NA,NA,NA,NA
1451,NA,+1,00,-1
1452,NA,NA,NA,NA
1453,-2,-1,-1,-1
1454,NA,-1,-2,-1
1455,NA,-1,-1,-1
1456,-2,NA,-2,-1
1457,+2,NA,+2,+2
1458,-2,-1,-1,NA
1459,-1,-3,-2,NA
1460,-3,+1,00,-1
1461,+1,-2,NA,NA
1462,NA,-1,+2,00
1463,00,-2,-1,+1
1464,-2,+1,+1,NA
1465,-2,-1,-1,-1
1466,-1,00,-1,-2
1467,+1,-1,+2,+2
1468,NA,-2,-2,-2
1469,-1,-1,-2,-1
1470,-2,-2,+1,+3
1471,+2,+1,+3,+2
1472,+2,+3,+2,+1
1473,00,+2,+3,NA
1474,-2,-1,00,NA
1475,00,-1,+1,NA
1476,00,-2,00,-2
1477,-3,-2,-2,+1
1478,+1,+1,+2,-1
1479,+2,-1,+2,-1
1480,+2,-1,00,-1
1481,-2,-1,-1,-1
1482,+2,+1,00,+1
1483,+3,NA,+3,00
1484,-1,00,-2,-1
1485,00,-2,-2,-1
1486,+1,-2,-2,-1
1487,00,-2,00,-1
1488,NA,+1,-2,-1
1489,NA,+1,-1,+2
1490,-3,-1,-1,-2
1491,-2,-1,-2,NA
1492,-1,-1,NA,NA
1493,+2,-1,+2,00
1494,+2,NA,+1,NA
1495,-1,NA,00,NA
1496,-2,-1,00,-1
1497,+2,+2,+1,NA
