year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1500,-2,-1,-1,00,-1,+1,+1,-1,00,00,-3,-2
1501,+1,+1,00,00,+1,00,-1,-2,00,-1,-1,00
1502,-2,-2,-1,00,-3,+2,00,+3,00,00,00,00
1503,-2,-2,-2,00,+1,+2,+3,+3,00,00,00,00
1504,-1,-1,-1,+2,+1,+2,+2,+1,00,00,00,+2
1505,+2,00,00,00,00,-1,-1,00,+1,+1,00,00
1506,+3,+2,00,00,00,+1,+1,00,00,00,00,+1
1507,+1,+2,-1,+1,00,-1,-1,00,00,00,00,-1
1508,-1,-1,-2,-2,00,00,-1,-1,+1,00,00,-1
1509,-1,-1,00,00,00,00,+1,+2,+1,-1,00,00
1510,00,+1,-2,00,-1,00,-1,00,00,00,-1,-1
1511,-1,-2,-1,00,00,00,-1,-1,00,00,00,-2
1512,-1,-2,-1,00,+1,00,+1,+1,-1,00,+1,-1
1513,-2,-2,-1,-1,00,-1,00,-1,-1,-3,-1,-2
1514,-2,-1,-1,-2,00,-2,00,+1,00,-1,-1,00
1515,+1,+2,-2,-1,-1,00,-1,-1,+1,-1,00,+1
1516,+1,00,-1,+1,00,+1,00,+1,+1,+1,-2,-1
1517,-2,-2,-1,+1,+1,+1,00,00,-1,+1,-1,00
1518,-1,00,00,+1,00,-2,+1,-1,00,-1,-1,00
1519,-1,+1,+1,00,-1,+2,00,-1,00,-1,00,00
1520,+1,00,-1,-1,-1,+1,+1,00,-2,00,00,+2
1521,+1,+3,00,00,00,00,00,00,+1,+1,00,00
1522,-2,-1,00,00,-1,-1,00,00,00,00,00,+2
1523,00,+1,-1,+1,00,00,00,+1,+1,00,00,00
1524,+2,+1,00,00,-2,-1,00,00,00,00,00,-2
1525,00,-1,-1,00,00,00,+1,00,+1,+1,+1,-1
1526,-1,-2,00,00,00,-1,00,-1,00,00,00,00
1527,+1,00,00,00,00,00,-1,00,-1,-1,00,00
1528,+1,00,00,-1,00,00,00,-1,+1,00,00,00
1529,-1,-1,00,00,00,-2,-1,-2,-1,00,00,+1
1530,+2,+1,00,-1,00,00,00,-2,00,-1,00,00
1531,+1,+1,-3,-1,-2,-2,00,-1,+2,+2,00,-1
1532,00,+2,00,-1,00,00,00,+3,00,00,00,-2
1533,00,+1,00,00,00,00,00,-1,00,00,00,-1
1534,-2,-1,00,+2,+1,+2,+2,+3,00,-2,00,00
1535,-1,00,-1,-1,-2,+1,+2,+2,00,00,00,00
1536,-1,-1,00,00,+2,+3,+3,+2,+1,+1,00,-1
1537,+1,+2,-1,00,-2,-2,-2,00,00,00,+2,+3
1538,+1,00,-2,-2,00,+1,00,+1,00,00,00,+2
1539,00,00,00,00,-1,00,00,-1,-1,-1,-1,00
1540,00,+3,+1,+1,+2,+1,+3,+3,+2,+1,00,00
1541,-1,-2,-1,00,00,+1,-1,-1,00,00,-1,00
1542,+1,+1,-2,-1,-2,-1,-2,-2,00,00,00,-1
1543,-2,-2,-1,00,-1,-1,-1,-1,00,+1,00,-1
1544,-2,-1,-1,-1,00,-1,-1,00,00,00,-1,00
1545,+1,+2,+1,00,00,00,+2,+2,+1,+1,00,-2
1546,-1,-2,-1,00,-2,00,00,00,00,00,00,-2
1547,00,00,00,-1,00,+1,+1,00,00,00,00,00
1548,-3,00,00,00,00,00,+2,+2,+1,00,00,00
1549,00,00,00,00,00,00,+2,00,00,-1,00,-2
1550,-1,00,-2,00,-1,00,00,-1,00,-1,-2,-1
1551,+2,-2,-1,00,-1,-1,+1,00,00,-1,00,-1
1552,+2,+1,00,00,00,00,-1,-1,00,+1,+1,00
1553,00,-1,-2,-1,00,00,00,00,+1,+1,+1,00
1554,-2,-3,00,+1,00,-1,00,+2,-1,00,00,00
1555,00,00,-1,00,00,-1,-1,00,+1,-1,-1,00
1556,+2,00,00,00,00,+2,+1,+2,00,00,-2,-3
1557,-1,00,-1,00,00,+1,+1,00,+3,+1,00,-1
1558,+1,+1,+1,+2,00,+1,+2,00,00,+1,00,-1
1559,-1,00,00,-1,00,00,+2,+1,00,00,00,+1
1560,00,00,00,00,00,-1,-1,00,00,-1,-2,-2
1561,-2,-1,00,-1,00,00,+2,00,00,00,+2,00
1562,+1,+1,00,00,-1,00,00,+1,+1,00,00,-1
1563,-1,+1,-2,-1,00,-2,-2,-1,00,-1,+1,+1
1564,-2,-2,00,+1,-1,+2,-1,00,+1,00,-2,-2
1565,-3,-2,-2,00,-1,00,+2,+2,00,00,00,+1
1566,00,+1,00,+1,00,00,+2,00,+1,00,00,00
1567,+2,00,00,00,-2,+3,+1,+2,+1,+1,-1,+2
1568,-1,-1,00,00,+1,+2,00,-1,00,-1,-2,-3
1569,-2,-2,-1,00,-2,-2,-2,00,-2,-1,00,00
1570,00,+1,+1,-1,00,+1,-1,-1,00,00,00,-1
1571,-1,-1,00,+2,00,-1,-1,-1,00,+1,-1,00
1572,-1,-1,-1,00,00,00,00,00,00,00,-2,-2
1573,-2,-3,-1,-2,00,00,-1,-1,-1,-1,00,-1
1574,00,00,00,00,00,00,-1,00,00,00,+1,00
1575,00,00,00,-1,00,+1,+2,+1,00,00,-2,-2
1576,00,00,00,-1,-1,-2,-1,00,-1,-1,00,+1
1577,+2,00,-2,00,00,00,00,00,00,00,00,00
1578,00,-3,00,-2,00,+1,00,+1,00,00,-1,00
1579,00,+1,+1,-2,00,-1,-3,-1,-1,-2,-2,00
1580,00,+1,-2,00,00,00,00,+2,-1,00,00,00
1581,00,00,-1,+1,00,00,-1,00,+1,-1,-1,-2
1582,00,+1,00,00,00,00,-1,00,00,-1,00,+1
1583,00,00,00,+1,+1,00,+1,00,00,00,00,00
1584,+1,00,-2,00,00,+1,00,-1,+1,00,00,00
1585,+1,+1,00,00,-1,-1,-2,-1,-1,00,00,-1
1586,-2,-1,-1,-1,00,00,00,00,00,+2,-3,-2
1587,-2,-2,-1,-1,-1,-1,-1,00,-1,-1,00,+1
1588,00,-1,-2,00,-1,00,00,-1,-1,-1,00,-1
1589,-1,-2,-1,-1,00,-1,+1,+2,+1,00,00,-1
1590,-2,-1,-1,00,-1,+3,+3,+2,+1,00,00,-1
1591,-1,-1,00,+2,+1,00,-1,-1,00,-1,00,-1
1592,+2,-1,-1,+1,-2,-2,-1,+1,00,-1,-1,-1
